2;Básico;Countable and uncountable nouns;Complete the sentence: "__________ island is a piece of land surrounded by water.";An;A;Some;These
2;Básico;Countable and uncountable nouns;Choose the best answer: "She had __________ accident last year.";an;some;a;two
2;Básico;Countable and uncountable nouns;Complete the sentence: "There was __________ earthquake in Japan yesterday.";an;a;some;three
2;Básico;Countable and uncountable nouns;Choose the correct alternative: "Can you lend me __________ money? I need to pay my bills.";some;many;an ;a
2;Básico;Countable and uncountable nouns;Complete the sentence with the best alternative: "I have __________ idea. Let's go to __________ Japanese restaurant.";an/a;a/an;a/that;good/an
2;Básico;Countable and uncountable nouns;Choose the best alternative: "I know __________ Australian surfer who was attacked by __________ shark.";an/a;a/an;two/a;a/dangerous
2;Básico;Countable and uncountable nouns;Complete the sentence: "Do you have __________ idea of what he is saying?";any;a;some;this
2;Básico;Countable and uncountable nouns;Choose the best alternative: "You need to get __________ new cell phone.";a;it;an ;some
2;Básico;Countable and uncountable nouns;Choose the incorrect alternative: '"There are __________ books I want to read this year.";a;two;some;a lot of
2;Básico;Countable and uncountable nouns;Complete the sentence: "Paul is studying hard to be __________ architect.";an;a;best;good
2;Básico;Countable and uncountable nouns;Choose the best alternative: "Excuse me, can I have __________ sugar in my coffee please?";some;the;a;two
2;Básico;Countable and uncountable nouns;Complete the sentence: "Would you like __________ help?";some;a;the;one
2;Básico;Countable and uncountable nouns;Complete the sentence: "There aren't __________ restaurants in this neighborhood.";any;some;a;this
2;Básico;Countable and uncountable nouns;Choose the correct alternative: "My uncle __________ famous artist".;is a;is an;isn't an;be a 
2;Básico;Countable and uncountable nouns;Choose the correct alternative: "I would like __________ omelet and __________ piece of cake, please.";an/a;an/an;a/a;a/an
2;Básico;Countable and uncountable nouns;Complete the sentence: "We have __________ house in the mountains.";a;an;some;these
2;Básico;Countable and uncountable nouns;Complete the sentence: "I'm not sure. I need __________ days to think about it.";some;a;an ;the
2;Básico;Countable and uncountable nouns;Choose the correct alternative: "Let me boil __________ water for the coffee.";some;a ;any;an
2;Básico;Countable and uncountable nouns;Complete the sentence : "I bought __________ furniture for my new house this week: __________ wardrobe, a sofa and a bed.";some/a;a/an;three/a;some/an
2;Básico;Countable and uncountable nouns;Complete the sentence: "Excuse me sir, would you like __________ wine and __________ glass of water with your food?";some/a;a/a;some/an;a/some
2;Básico;Countable and uncountable nouns;Choose the correct alternative to complete the sentence: "__________ of the fruits in the fridge __________ rotten.";Some/are;Some/is;Three/isn't;All/is
2;Básico;Countable and uncountable nouns;Which words are uncountable nouns?;coffee/milk/bread;cup/plate/fork;furniture/table/microwave;sugar/chocolate bar/cake
2;Básico;Countable and uncountable nouns;Choose the countable noun:;tomato;meat;tea;bread
2;Básico;Countable and uncountable nouns;Which word is not a plural form?;child;women;men;mice
2;Básico;Countable and uncountable nouns;Complete the sentence: "I have __________ information to give you.";some;an;a;many
