2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct alternative: "It's his first day here. Don't forget to tell __________ what to do.";him;his;he;you;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Fill in the gap with the correct alternative: "Don't pay attention to __________. They don't know what they say.";them;they;our;us;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct answer: "If we go to the cinema, Tom is going to come with __________.";us;him;her;them;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best answer: "I love spending time with my dog. I take __________ for a walk every day.";it;them;you;us;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct alternative: "I always see Sarah. I usually meet up with __________ on Tuesdays.";her;him;them;us;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Fill in the gap with the correct alternative: "Tom and Alan are Peter's best friends. Peter always calls __________.";them;their;they;her;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct answer: "James loves his grandmother. He's at __________ house now.";her;his;they;your;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best answer: "Can you pass me the newspaper? I haven't read __________ yet.";it;him;her;them;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct alternative: "My children don't like playing with __________ because they cry a lot.";them;us;their;her;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Fill in the gap with the correct alternative: "We haven't been invited to the party. I think they don't like __________.";us;them;we;him;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct answer: "My sister hates pizza. She never eats __________.";it;him;her;us;;JG
2;Intermediate;Object, reflexive and possessive pronouns;|Choose the best answer:
Matt: "Does Peter like cooking?"
Aimee: "Yes, he loves __________."|;it;him;her;their;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "You look tired. You should take better care of __________.";yourself;you;me;oneself;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best alternative: "Congratulations on your graduation, we are very proud of ___________.";you;yourself;your;yours;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "Sometimes I ask __________: "What am I doing in this job?";myself;ourselves;themselves;oneself;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "Can you please tell __________ what happened in the meeting, so that we can plan our week?";us;we;they;he;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct answer: "Tom knows Brian and Laura. He has known __________ for 10 years.";them;they;her;him;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best answer: "Our car is making a strange noise and we are worried about __________.";it;him;her;its;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best alternative: "Here are your books. Can you please open __________ now?";them;it;they;him;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct alternative: "We are right here! Can you see __________?";us;them;hers;his;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "Mike bought a pen at the shop. He bought __________ to write an essay.";it;her;him;them;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best answer: "He likes my friends and I. He invited __________ to his party.";us;them;our;ours;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best answer: "I don't like Susan's new friends. I don't like __________ because they are boring.";them;us;our;they;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct answer: "My parents bought a guitar and gave __________ to my brother.";it;him;her;them;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best answer: "Do you like this pie? I made it __________!";myself;itself;herself;himself;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best alternative: "Look at that woman! She is talking to __________!";herself;myself;himself;ourselves;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct alternative: "The children can't look after __________. They are too young!";themselves;ourselves;himself;herself;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "Please, help __________ to some food.";yourself;ourselves;themselves;herself;;JG
2;Intermediate;Object, reflexive and possessive pronouns;|Complete the dialogue:
Ann: "Who made the announcement?"
John: "The president __________."|;himself;myself;him;oneself;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "I usually speak to __________ when I am alone.";myself;herself;himself;themselves;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Choose the best answer: "My grandmother lives all by __________.";herself;himself;her;she;;JG
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "Before you go, don't forget that this umbrella is __________.";mine;my;her;him;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct alternative: "The house has two windows on each of __________ sides.";its;their;her;it's;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Complete the sentence: "I just found out that we are neighbors. __________ house is very close to __________.";Our/yours;Ours/Yours;Our/your;My/your;;JM
2;Intermediate;Object, reflexive and possessive pronouns;Choose the correct alternative: "I have wonderful co-workers. I like __________ and they like __________.";them/me;they/me;them/my;they/we;;JM
