idIdioma;idPergunta;Nivel;Competencia;Pergunta
Inglês;1;Básico;Verb to Be;Complete the sentence: "My family __________ very big."
Inglês;2;Básico;Verb to Be;Choose the correct alternative: "Nathalie __________ sick today."
Inglês;3;Básico;Verb to Be;Complete the sentence with the correct alternative: "Okay, you are right. I __________ sorry."
Inglês;4;Básico;Verb to Be;Choose the correct alternative: "They __________ all very good friends."
Inglês;5;Básico;Verb to Be;Complete the sentence: "Today __________ the 19th of January."
Inglês;6;Básico;Verb to Be;Complete the sentence: "Adolescents ___ usually very active."
Inglês;7;Básico;Verb to Be;What is the correct alternative? "I _________ a software developer."
Inglês;8;Básico;Verb to Be;Choose the correct form: "She __________ here right now. May I take a message?"
Inglês;9;Básico;Verb to Be;Choose the correct alternative: "___ she his boss?"
Inglês;10;Básico;Verb to Be;Which of the following alternatives is incorrect?: "I ____ a lawyer."
Inglês;11;Básico;Verb to Be;Choose the correct alternative: "My father ___ in the kitchen."
Inglês;12;Básico;Verb to Be;Choose the correct answer: "The pupils ___ at school today."
Inglês;13;Básico;Verb to Be;Choose the correct alternative: "It ___ Sunday today."
Inglês;14;Básico;Verb to Be;Choose the correct answer:" ___ careful! It is hot!"
Inglês;15;Básico;Verb to Be;Complete the sentence: " ___ you from Scotland?"
Inglês;16;Básico;Verb to Be;Choose the incorrect alternative: "His sister ___ seven years old."
Inglês;17;Básico;Verb to Be;Choose the incorrect alternative: "We ___ children."
Inglês;18;Básico;Verb to Be;Choose the best answer: "My grandmother's name ___ Adelaide."
Inglês;19;Básico;Verb to Be;Which of the following is verb to be?
Inglês;20;Básico;Verb to Be;Which of the following is not verb to be?
Inglês;21;Básico;Verb to Be;Complete the sentence: "____ excited about this trip, it's going to be ____!"
Inglês;22;Básico;Verb to Be;Choose the correct alternative: "Where _______ from?"
Inglês;23;Básico;Verb to Be;Complete the sentence: "The food there ___ really good but the waiters ___ quite rude."
Inglês;24;Básico;Verb to Be;Choose the correct alternative: "____ Zurich the capital of Switzerland? No, ____ Bern."
Inglês;25;Básico;Verb to Be;Complete the sentence: "I think _____ a bus driver."
Inglês;26;Básico;Verb to Be;Complete the sentence: "This is Ana. ______ my friend."
Inglês;27;Básico;Verb to Be;Choose the correct answer: "I'm from a city called Turin. ____ in Italy."
Inglês;28;Básico;Verb to Be;Complete the sentence: "I'm Cary and this is Thomas. _____ architects."
Inglês;29;Básico;Verb to Be;Choose the correct alternative:            Mike: "Is she your mom?"  Sarah: "________."                                
Inglês;30;Básico;Verb to Be;Complete the sentence: "Billy ___ from the United States."
Inglês;31;Básico;Verb to Be;Choose the correct alternative: "Nice car. _____ yours?"
Inglês;32;Básico;Verb to Be;Choose the correct answer: "I ____ thirty-one years old."
Inglês;33;Básico;Verb to Be;Complete the sentence: "______ happy?"
Inglês;34;Básico;Verb to Be;Choose the correct alternative: "__________ coming to the party?"
Inglês;35;Básico;Verb to Be;Complete the sentence: "Anna _______ at home at the moment. Please come back later."
Inglês;36;Básico;Verb to Be;Choose the correct alternative:  Cary: "Where's John?"  James:"________ at work."
Inglês;37;Básico;Verb to Be;Complete the sentence: "My cousins __________ going downtown tomorrow."
Inglês;38;Básico;Verb to Be;Choose the correct alternative: "My sister __________ not a child anymore."
Inglês;39;Básico;Verb to Be;Complete the sentence:  Anna: "Are you and Mark cousins?" Stella: "No, we __________."
Inglês;40;Básico;Verb to Be;Choose the correct answer:  Mark: "__________ this your seat?" Peter: "Yes, it __________."
Inglês;41;Básico;Verb to Be;Complete the sentence: "We __________ Brazilian. We are not Portuguese."
Inglês;42;Básico;Verb to Be;Choose the correct alternative:  Aimee: "Are you an engineer?" Paul: "Yes, I __________."
Inglês;43;Básico;Verb to Be;Choose the correct answer: Lisa: "Is your room number 12?" Mick: "No, it __________. It is number 15."
Inglês;44;Básico;Verb to Be;Complete the sentence: "__________ Lulu a dog?"
Inglês;45;Básico;Verb to Be;Choose the correct alternative: "My dad __________ an astronaut. He is a dentist."
Inglês;46;Básico;Verb to Be;Choose the correct answer: "__________ you cold?"
Inglês;47;Básico;Verb to Be;Complete the question: "_______________ tall enough to play on the basketball team?"
Inglês;48;Básico;Verb to Be;Choose the correct alternative:  Ann: "Where __________ Tim and Sue?" Mark: "They __________ at school."
Inglês;49;Básico;Verb to Be;Choose the correct answer: "The teachers always say good things about my son. He __________ a very good student."
Inglês;50;Básico;Verb to Be;Complete the sentence: "The weather is nice today. It __________ raining."
Inglês;51;Básico;Verb to Be;Complete the dialogue:  Sally: "__________ John rich?" Bob: "Yes, he __________ vey rich."
Inglês;52;Básico;Verb to Be;Choose the correct answer: "Don't come in! Your shoes __________ very dirty!"
Inglês;53;Básico;Verb to Be;Complete the sentence: "Can you help me, please? This bag __________ very heavy."
Inglês;54;Básico;Verb to Be;Complete the dialogue: Sue: "Where __________ Aimee's car?" Peter: "It __________ in the garage."
Inglês;55;Básico;Verb to Be;Complete the dialogue: Mark: "__________ your mom retired?" Sarah: "No, she __________."
Inglês;56;Básico;Verb to Be;Choose the correct answer: "Take my car. They keys __________ on the table."
Inglês;57;Básico;Verb to Be;Complete the sentence: "Your watch __________ really beautiful. I loved it."
Inglês;58;Básico;Verb to Be;Choose the best answer: "My friend and I __________ dentists. __________ aren't phychologists."
Inglês;59;Básico;Verb to Be;Complete the sentence: "The Leaning Tower of Pisa is in Italy. _______________ in France."
Inglês;60;Básico;Verb to Be;Complete the sentence: "Hello, nice to meet you. These __________ my business partners, James and Alice."
Inglês;61;Básico;Verb to Be;Complete the sentence: "My parents love Italian food. Their favorite food __________ ravioli."
